MsCode,IncCode,Year,Estimate,RSE,LowerCIB,UpperCIB,Flag
M001,V010,2022,1126,17.2,932,1319,
M002,V001,2022,64143,3.1,62160,66126,
M002,V002,2022,0, ,,,NA
M002,V003,2022,0, ,,,NA
M002,V004,2022,0, ,,,NA
M002,V005,2022,450,22,351,549,
M002,V006,2022,0, ,,,NA
M002,V007,2022,96467,1.6,94925,98010,
M002,V008,2022,17859,2.7,17369,18349,
M002,V009,2022,79981,1.4,78840,81121,
M002,V010,2022,0, ,,,NA
M003,V001,2022,9,2.9,6.1,12,
M003,V002,2022,2.7,8.8,-6.1,11.6,
M003,V003,2022,-9.6,11.2,-20.8,1.6,
M003,V004,2022,1.4,1.7,-0.4,3.1,
M003,V005,2022,-0.4,4.1,-4.6,3.7,
M003,V006,2022,-12.9,10.8,-23.8,-2.1,
M003,V007,2022,5.6,2,3.6,7.6,
M003,V008,2022,10.2,3.1,7.2,13.3,
M003,V009,2022,4.1,1.7,2.4,5.8,
M003,V010,2022,-0.4,22.4,-22.8,22,
M004,V001,2022,15.4,4.4,11,19.9,
M004,V002,2022, , , , ,NA
M004,V003,2022, , , , ,NA
M004,V004,2022, , , , ,NA
M004,V005,2022,-47.4,12.2,-59.6,-35.2,
M004,V006,2022, , , , ,NA
M004,V007,2022,7.3,2.3,5.1,9.6,
M004,V008,2022,13,3.8,9.2,16.8,
M004,V009,2022,6.7,2,4.7,8.6,
M004,V010,2022, , , , ,NA
M001,V001,2023,83324,1.6,81976,84673,
M001,V002,2023,18528,7.4,17159,19897,
M001,V003,2023,3932,18,3225,4640,
M001,V004,2023,8850,1,8758,8943,
M001,V005,2023,6210,2.6,6047,6374,
M001,V006,2023,5524,10.6,4941,6108,
M001,V007,2023,126370,1.6,124346,128393,
M001,V008,2023,28738,2.6,27998,29478,
M001,V009,2023,98878,1.3,97587,100169,
M001,V010,2023,5547,19.1,4486,6609,
M002,V001,2023,65583,2.9,63655,67511,
M002,V002,2023,0, ,,,NA
M002,V003,2023,0, ,,,NA
M002,V004,2023,0, ,,,NA
M002,V005,2023,450,8.7,411,489,
M002,V006,2023,0, ,,,NA
M002,V007,2023,99278,1.3,97945,100612,
M002,V008,2023,18867,1.9,18513,19222,
M002,V009,2023,81945,1.4,80836,83055,
M002,V010,2023,0, ,,,NA
M003,V001,2023,5,2.9,2.1,7.9,
M003,V002,2023,9.6,10.3,-0.8,19.9,
M003,V003,2023,15.9,26,-10.1,42,
M003,V004,2023,7.7,1.8,5.9,9.4,
M003,V005,2023,1.7,4.6,-3,6.3,
M003,V006,2023,61.8,24.9,37,86.7,
M003,V007,2023,7.6,2.5,5.1,10.1,
M003,V008,2023,10.8,3.9,6.9,14.8,
M003,V009,2023,6.7,2.1,4.6,8.8,
M003,V010,2023,392.8,130.6,262.2,523.5,
M004,V001,2023,2.2,4.4,-2.1,6.6,
M004,V002,2023, , , , ,NA
M004,V003,2023, , , , ,NA
M004,V004,2023, , , , ,NA
M004,V005,2023,0,23.6,-23.6,23.6,
M004,V006,2023, , , , ,NA
M004,V007,2023,2.9,2.1,0.8,5.1,
M004,V008,2023,5.6,3.5,2.1,9.2,
M004,V009,2023,2.5,2,0.4,4.5,
M004,V010,2023, , , , ,NA
M001,V001,2024,90741,1.2,89646,91837,
M001,V002,2024,17183,6.5,16071,18294,
M001,V003,2024,4778,8.7,4361,5196,
M001,V004,2024,9528,0.9,9444,9613,
M001,V005,2024,6857,2.3,6700,7015,
M001,V006,2024,5506,8.3,5051,5961,
M001,V007,2024,134599,1.3,132891,136307,
M001,V008,2024,31238,1.9,30629,31847,
M001,V009,2024,104567,1.1,103448,105685,
M001,V010,2024,3307,16.3,2768,3847,
M002,V001,2024,71351,2.3,69734,72968,
M002,V002,2024,0, ,,,NA
M002,V003,2024,0, ,,,NA
M002,V004,2024,0, ,,,NA
M002,V005,2024,450,7.5,416,484,
M002,V006,2024,0, ,,,NA
M002,V007,2024,105278,1.2,103978,106577,
M002,V008,2024,20624,2,20217,21032,
M002,V009,2024,86257,1.2,85204,87309,
M002,V010,2024,0, ,,,NA
M003,V001,2024,8.9,2.1,6.8,11,
M003,V002,2024,-7.3,9.1,-16.3,1.8,
M003,V003,2024,21.5,24.4,-2.9,45.9,
M003,V004,2024,7.7,1.4,6.2,9.1,
M003,V005,2024,10.4,4.1,6.3,14.5,
M003,V006,2024,-0.3,12.9,-13.2,12.5,
M003,V007,2024,6.5,2.1,4.4,8.6,
M003,V008,2024,8.7,3.4,5.3,12.1,
M003,V009,2024,5.8,1.7,4.1,7.5,
M003,V010,2024,-40.4,14.2,-54.6,-26.2,
M004,V001,2024,8.8,4,4.8,12.8,
M004,V002,2024, , , , ,NA
M004,V003,2024, , , , ,NA
M004,V004,2024, , , , ,NA
M004,V005,2024,0,11.5,-11.5,11.5,
M004,V006,2024, , , , ,NA
M004,V007,2024,6,1.9,4.1,8,
M004,V008,2024,9.3,3,6.3,12.3,
M004,V009,2024,5.3,1.9,3.3,7.2,
M004,V010,2024, , , , ,NA
