QuintCode,MsCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q002,M006A,280.8,4,269.4,292.2, 
Q003,M006A,272.2,4.2,260.7,283.7, 
Q004,M006A,294.3,4.1,282.2,306.3, 
Q005,M006A,334.2,3.4,322.7,345.7, 
Q006,M006A,1556.9,0.9,1543.3,1570.5, 
Q001,M006B,69.9,8.3,64.1,75.7, 
Q002,M006B,66.7,8.6,61,72.5, 
Q003,M006B,62,9.4,56.2,67.9, 
Q004,M006B,59.2,9.5,53.6,64.8, 
Q005,M006B,52.5,11.5,46.5,58.6, 
Q006,M006B,310.4,3.8,298.7,322.1, 
Q001,M006C,34.5,13.7,29.8,39.2, 
Q002,M006C,22.9,13.6,19.8,26, 
Q003,M006C,21.4,15.1,18.2,24.6, 
Q004,M006C,14.9,16.2,12.5,17.4, 
Q005,M006C,8.8,24.4,6.6,10.9, 
Q006,M006C,102.5,7.3,95,110, 
