QuintCode,PdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q003,P003K,57.1,9.4,51.7,62.5, 
Q004,P003K,63.5,9.8,57.2,69.7, 
Q005,P003K,79,9,71.9,86.1, 
Q006,P003K,309.6, , , ,NA
Q007,P003K,57946,3.4,55965,59927, 
Q008,P003K,65293,3.3,63134,67451, 
Q001,P003L,318.4,3.6,306.9,330, 
Q002,P003L,181.3,5.5,171.5,191.2, 
Q003,P003L,126.3,7,117.5,135.1, 
Q004,P003L,102,8.3,93.6,110.5, 
Q005,P003L,105.9,8,97.4,114.4, 
Q006,P003L,834, , , ,NA
Q007,P003L,39111,2.4,38154,40068, 
Q008,P003L,51409,2.6,50090,52728, 
Q001,P004A,656.8,3.5,633.5,680, 
Q002,P004A,653.3,4.4,624.3,682.3, 
Q003,P004A,646.5,5.7,609.8,683.3, 
Q004,P004A,701.3,4.1,672.3,730.4, 
Q005,P004A,791.5,4,759.7,823.4, 
Q006,P004A,3449.5,1.3,3405,3493.9, 
Q007,P004A,55830,1.3,55107,56554, 
Q008,P004A,64523,1.5,63579,65467, 
Q001,P004B,204.4,8.5,187.1,221.8, 
Q002,P004B,225.4,7.5,208.4,242.3, 
Q003,P004B,179.5,7.1,166.7,192.3, 
Q004,P004B,159.7,8.5,146.1,173.3, 
Q005,P004B,106.3,8.1,97.7,115, 
Q006,P004B,875.3,1.5,862.1,888.6, 
Q007,P004B,46490,3.1,45037,47944, 
Q008,P004B,53363,2.4,52088,54638, 
Q001,P004C,182.9,10.8,163.2,202.6, 
Q002,P004C,187.8,11.7,165.7,209.9, 
Q003,P004C,212.8,11.5,188.4,237.3, 
Q004,P004C,203.8,10.8,181.8,225.7, 
Q005,P004C,181.4,9.5,164.3,198.6, 
Q006,P004C,968.7,4.5,925.2,1012.2, 
Q007,P004C,53600,3.4,51770,55430, 
Q008,P004C,57969,2.7,56431,59506, 
Q001,P004D,99.3,12.6,86.7,111.8, 
Q002,P004D,137.1,11.1,122,152.3, 
Q003,P004D,112.1,14.8,95.6,128.7, 
Q004,P004D,84.4,15.3,71.5,97.4, 
Q005,P004D,43.3,18.4,35.4,51.3, 
Q006,P004D,476.3,6,447.7,504.9, 
Q007,P004D,46201,3.9,44381,48021, 
Q008,P004D,50252,2.8,48856,51647, 
Q001,P004E,14.4,39.4,8.8,20.1, 
Q002,P004E,17,28.7,12.1,21.9, 
Q003,P004E,24.4,36.5,15.5,33.3, 
Q004,P004E,19.6,26.6,14.4,24.8, 
Q005,P004E,13.2,28.6,9.4,16.9, 
Q006,P004E,88.6,16.1,74.3,102.8, 
Q007,P004E,53883,6.8,50196,57570, 
Q008,P004E,58438,6.6,54580,62295, 
Q001,P004F,19.6,21.9,15.3,23.8, 
Q002,P004F,16.7,23.7,12.8,20.7, 
Q003,P004F,14,25,10.5,17.4, 
Q004,P004F,18.4,26.4,13.5,23.2, 
Q005,P004F,11.3,33.8,7.5,15.2, 
Q006,P004F,80,12.7,69.8,90.1, 
Q007,P004F,49838,9,45375,54301, 
Q008,P004F,55114,6.5,51534,58694, 
Q001,P005A,224.8,6.3,210.7,239, 
Q002,P005A,165.6,5.9,155.7,175.4, 
Q003,P005A,137.2,9.6,124.1,150.3, 
Q004,P005A,112.4,8.7,102.6,122.2, 
Q005,P005A,70.1,10.5,62.8,77.5, 
Q006,P005A,710.1,3.6,684.6,735.5, 
Q007,P005A,42834,2.6,41716,43952, 
Q008,P005A,49290,1.7,48434,50146, 
Q001,P005B,168.5,6.2,158,179, 
Q002,P005B,178.7,6.1,167.7,189.7, 
Q003,P005B,181.5,6.4,169.9,193.1, 
Q004,P005B,186.7,6.1,175.2,198.1, 
Q005,P005B,161.3,8.1,148.3,174.3, 
Q006,P005B,876.7,2.1,858.3,895.1, 
Q007,P005B,54000,1.9,52958,55041, 
Q008,P005B,59481,2,58294,60669, 
Q001,P005C,73.4,8.1,67.4,79.4, 
Q002,P005C,81.9,8.9,74.6,89.3, 
Q003,P005C,85.1,8.9,77.6,92.7, 
Q004,P005C,84.7,9,77.1,92.3, 
Q005,P005C,73.3,8.9,66.8,79.9, 
Q006,P005C,398.5,3.3,385.5,411.5, 
Q007,P005C,53902,2.5,52571,55233, 
Q008,P005C,59405,2.2,58106,60705, 
Q001,P005D,92.8,8,85.3,100.2, 
Q002,P005D,81.4,8,74.9,88, 
Q003,P005D,85.7,9.5,77.5,93.8, 
Q004,P005D,99,8.3,90.8,107.2, 
Q005,P005D,103.1,7.9,94.9,111.3, 
Q006,P005D,462,3.2,447.3,476.6, 
Q007,P005D,56068,3,54405,57731, 
Q008,P005D,62535,2.6,60922,64147, 
Q001,P005E,71.4,8.7,65.2,77.6, 
Q002,P005E,89.8,9.1,81.7,98, 
Q003,P005E,124.7,8.7,113.8,135.7, 
Q004,P005E,150,6.9,139.6,160.4, 
Q005,P005E,191.4,6.8,178.4,204.3, 
Q006,P005E,627.4,2.8,609.8,644.9, 
Q007,P005E,64418,1.9,63185,65650, 
Q008,P005E,73530,2.7,71525,75535, 
Q001,P005F,22.9,17,19,26.8, 
Q002,P005F,31.4,14.1,27,35.8, 
Q003,P005F,44.3,11.3,39.3,49.3, 
Q004,P005F,65.3,9.4,59.1,71.4, 
Q005,P005F,94.7,7.9,87.2,102.1, 
Q006,P005F,258.5,4.9,245.8,271.3, 
Q007,P005F,70332,2.6,68512,72152, 
Q008,P005F,79739,3.1,77271,82207, 
Q001,P005G,20.6,18.7,16.8,24.5, 
Q002,P005G,24.8,18.4,20.2,29.4, 
Q003,P005G,26.8,17,22.2,31.4, 
Q004,P005G,39.3,12.6,34.4,44.3, 
Q005,P005G,71.6,10.3,64.2,79, 
Q006,P005G,183.2,6.6,171.1,195.2, 
Q007,P005G,70232,3.2,67964,72500, 
Q008,P005G,80362,4.6,76688,84037, 
Q001,P005H,3.2,43.4,1.8,4.6, 
Q002,P005H,3.4,36,2.2,4.7, 
Q003,P005H,4.2,33,2.8,5.6, 
Q004,P005H,7.2,26.4,5.3,9.2, 
Q005,P005H,20.1,17.2,16.6,23.5, 
Q006,P005H,38.2,10.9,34.1,42.4, 
Q007,P005H,82521,7.4,76450,88592, 
Q008,P005H,98776,8.6,90252,107299, 
Q001,P005I,31.3,12.8,27.3,35.3, 
Q002,P005I,25.4,13.7,21.9,28.9, 
Q003,P005I,21.9,17.6,18.1,25.7, 
Q004,P005I,25.3,15.8,21.3,29.3, 
Q005,P005I,27.6,14.1,23.7,31.5, 
Q006,P005I,131.5,5.7,123.9,139.1, 
Q007,P005I,53025,5.6,50054,55997, 
Q008,P005I,62203,4.9,59173,65232, 
Q001,P005J,2.6,44.5,1.4,3.8, 
Q002,P005J,1,70.5,0.3,1.7, 
Q003,P005J,1.9,53.2,0.9,3, 
Q004,P005J,1.5,60.5,0.6,2.4, 
Q005,P005J,1.7,64.5,0.6,2.7, 
Q006,P005J,8.7,23.7,6.6,10.7, 
Q007,P005J,53213,15.5,44967,61459, 
Q008,P005J,60650,20.8,48050,73250, 
Q001,P005K,39.8,12.8,34.7,44.9, 
Q002,P005K,28.4,19,23,33.8, 
Q003,P005K,30.1,18.4,24.5,35.6, 
Q004,P005K,31.1,17.8,25.6,36.7, 
Q005,P005K,30.7,18.9,24.9,36.5, 
Q006,P005K,160.1,8.8,146,174.2, 
Q007,P005K,52424,5.2,49710,55138, 
Q008,P005K,56826,4.4,54331,59322, 
Q001,P006A,230,5.7,216.9,243.1, 
Q002,P006A,393.7,4.3,376.6,410.8, 
Q003,P006A,557.2,4.8,530.7,583.8, 
Q004,P006A,677.4,3.3,655.3,699.5, 
Q005,P006A,747.9,3.6,721.3,774.6, 
Q006,P006A,2606.2,0.8,2585.1,2627.4, 
Q007,P006A,64259,0.9,63684,64834, 
Q008,P006A,71634,1.2,70748,72520, 
Q001,P006B,37.3,14.2,32,42.6, 
Q002,P006B,30.9,13.2,26.8,35, 
Q003,P006B,19.7,17.2,16.3,23.1, 
Q004,P006B,15.9,19.2,12.8,18.9, 
Q005,P006B,12.4,23.7,9.5,15.4, 
Q006,P006B,116.2,6.4,108.7,123.7, 
Q007,P006B,40439,5.1,38371,42507, 
Q008,P006B,48811,5.8,45982,51639, 
Q001,P006C,499.3,3.6,481.2,517.4, 
Q002,P006C,301.9,4.3,288.9,314.9, 
Q003,P006C,182.8,6,171.9,193.7, 
Q004,P006C,123.3,7.9,113.6,133, 
Q005,P006C,97.6,8.8,89,106.1, 
Q006,P006C,1204.8,1.7,1183.8,1225.8, 
Q007,P006C,36144,1.7,35527,36761, 
Q008,P006C,45311,1.8,44518,46104, 
Q001,P008A,191.8,6.3,179.7,203.9, 
Q002,P008A,154.6,6.4,144.7,164.4, 
Q003,P008A,107.8,7.4,99.8,115.7, 
Q004,P008A,85.3,9.4,77.2,93.3, 
Q005,P008A,72.3,10.1,65,79.6, 
Q006,P008A,611.7,3.1,592.8,630.6, 
Q007,P008A,41918,2.1,41047,42790, 
Q008,P008A,50584,2.3,49401,51767, 
Q001,P008B,819.2,3.5,790.1,848.3, 
Q002,P008B,865,3.5,834.6,895.4, 
Q003,P008B,903.5,4.5,862.5,944.5, 
Q004,P008B,934.9,3.5,902.5,967.3, 
Q005,P008B,952.7,3.6,918.5,987, 
Q006,P008B,4475.3,0.5,4454.7,4496, 
Q007,P008B,55218,1.3,54526,55909, 
Q008,P008B,62575,1.2,61794,63356, 
Q001,P009A,25.4,19.7,20.4,30.4, 
Q002,P009A,32.1,14.5,27.5,36.8, 
Q003,P009A,34,14.1,29.2,38.7, 
Q004,P009A,39.1,14.3,33.5,44.8, 
Q005,P009A,34.9,14.2,29.9,39.8, 
Q006,P009A,165.5,6.1,155.3,175.6, 
Q007,P009A,57194,3.7,55057,59332, 
Q008,P009A,64253,5.4,60801,67705, 
Q001,P009B,696.9,3.3,673.9,719.8, 
Q002,P009B,652.7,3.4,630.8,674.6, 
Q003,P009B,688.7,4.4,658.2,719.2, 
Q004,P009B,741.2,3.4,715.7,766.7, 
Q005,P009B,790,3.4,763.4,816.7, 
