Year,MsCode,RegCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
2020,M002,R002,8.6,1.3,7.3,9.9,
2021,M002,R002,7.7,1,6.7,8.7,
2022,M002,R002,8.6,1.7,6.9,10.3,
2023,M002,R002,9,1.6,7.4,10.7,
2024,M002,R002,10.8,1.3,9.5,12.1,
2019,M002,R003,11.8,1.8,10,13.6,
2020,M002,R003,8.3,2,6.3,10.3,
2021,M002,R003,9.1,1.9,7.2,11.1,
2022,M002,R003,,,,,S
2023,M002,R003,9.9,2.2,7.7,12.1,
2024,M002,R003,11.6,2.4,9.2,14,
2019,M002,R004,10.6,2.1,8.5,12.7,
2020,M002,R004,7.8,2.8,5,10.6,
2021,M002,R004,10,2.6,7.4,12.6,
2022,M002,R004,,,,,S
2023,M002,R004,9.2,2.1,7,11.3,
2024,M002,R004,9,2.2,6.8,11.1,
2019,M002,R005,11.5,2.9,8.6,14.3,
2020,M002,R005,6.3,2.1,4.2,8.4,
2021,M002,R005,6.6,2.2,4.5,8.8,
2022,M002,R005,,,,,S
2023,M002,R005,9.1,3.3,5.8,12.3,
2024,M002,R005,9.8,2.8,7,12.6,
2019,M002,R006,11.7,4.3,7.4,16,
2020,M002,R006,8.1,3.3,4.8,11.4,
2021,M002,R006,10.1,4.4,5.6,14.5,
2022,M002,R006,,,,,S
2023,M002,R006,9.6,3.4,6.2,13,
2024,M002,R006,8.9,2.9,6,11.8,
2019,M002,R007,12.2,2.7,9.5,14.9,
2020,M002,R007,9.7,2.6,7.2,12.3,
2021,M002,R007,7.7,2.1,5.6,9.9,
2022,M002,R007,,,,,S
2023,M002,R007,11.6,2.8,8.7,14.4,
2024,M002,R007,9.1,2.4,6.7,11.5,
2019,M002,R008,6.7,1.4,5.3,8.1,
2020,M002,R008,4.9,1.2,3.7,6.1,
2021,M002,R008,4.8,1.6,3.2,6.5,
2022,M002,R008,6.6,1.7,4.9,8.3,
2023,M002,R008,6.9,1.5,5.4,8.4,
2024,M002,R008,8.1,1.5,6.6,9.6,
2019,M002,R009,9.1,3,6.2,12.1,
2020,M002,R009,8.1,3.4,4.6,11.5,
2021,M002,R009,4.3,2,2.4,6.3,
2022,M002,R009,,,,,S
2023,M002,R009,10.4,3.1,7.3,13.4,
2024,M002,R009,6.8,2,4.8,8.9,
2019,M002,R010,6.5,1.3,5.2,7.8,
2020,M002,R010,5.8,1.4,4.4,7.2,
2021,M002,R010,4.9,1.3,3.7,6.2,
2022,M002,R010,5.2,2.1,3,7.3,
2023,M002,R010,5.9,1.4,4.5,7.3,
2024,M002,R010,7.2,1.2,6,8.4,
2019,M002,R011,7,3,4,10,
2020,M002,R011,4.1,1.9,2.3,6,
2021,M002,R011,6.1,3.1,3,9.2,
2022,M002,R011,,,,,S
2023,M002,R011,4.1,2.1,2,6.1,
2024,M002,R011,5.2,1.5,3.7,6.7,
2019,M002,R012,10.4,4.1,6.4,14.5,
2020,M002,R012,8.8,5.2,3.7,14,
