PerCode,DwCode,Year,Estimate,SE,LowerCIB,UpperCIB
P003,D008A,2020,40.8,5,35.8,45.7
P003,D008B,2020,11.1,1.3,9.8,12.5
P004,D001A,2020,136.4,9.3,127.1,145.7
P004,D001B,2020,11.6,0.8,10.8,12.4
P004,D002A,2020,180.3,11,169.3,191.3
P004,D002B,2020,27.5,1.5,26.1,29
P004,D003A,2020,316.7,13.4,303.3,330
P004,D003B,2020,17.3,0.7,16.6,18
P004,D004A,2020,117,7.8,109.1,124.8
P004,D004B,2020,31.9,1.8,30.1,33.7
P004,D005A,2020,100.4,7.5,92.9,107.9
P004,D005B,2020,27.4,1.9,25.5,29.3
P004,D006A,2020,62.2,6.8,55.3,69
P004,D006B,2020,17,1.7,15.3,18.7
P004,D007A,2020,25.7,4.5,21.2,30.2
P004,D007B,2020,7,1.2,5.8,8.3
P004,D008A,2020,11.5,2.8,8.7,14.3
P004,D008B,2020,3.1,0.8,2.4,3.9
P001,D001A,2021,854.4,17,837.5,871.4
P001,D001B,2021,69.8,1.3,68.5,71
P001,D002A,2021,286.8,13.3,273.5,300.1
P001,D002B,2021,44.5,1.8,42.7,46.3
P001,D003A,2021,1143.3,22.2,1121.1,1165.5
P001,D003B,2021,61.1,1.2,59.9,62.3
P001,D004A,2021,208.3,10.1,198.2,218.4
P001,D004B,2021,55.6,2.1,53.5,57.7
P001,D005A,2021,192.7,10.9,181.8,203.6
P001,D005B,2021,51.5,2.2,49.4,53.7
P001,D006A,2021,200.1,12.2,187.9,212.3
P001,D006B,2021,53.5,2.3,51.2,55.7
P001,D007A,2021,242.6,12.3,230.3,254.8
P001,D007B,2021,64.8,2.7,62.1,67.5
P001,D008A,2021,299.6,11.6,288,311.3
P001,D008B,2021,80,1.8,78.2,81.9
P002,D001A,2021,370.1,17.2,353,387.3
P002,D001B,2021,30.2,1.3,29,31.5
P002,D002A,2021,357.3,14.8,342.6,372.1
P002,D002B,2021,55.5,1.8,53.7,57.3
P002,D003A,2021,728,22.2,705.8,750.2
P002,D003B,2021,38.9,1.2,37.7,40.1
P002,D004A,2021,166.4,10.1,156.3,176.5
P002,D004B,2021,44.4,2.1,42.3,46.5
P002,D005A,2021,181.3,10,171.3,191.2
P002,D005B,2021,48.5,2.2,46.3,50.6
P002,D006A,2021,174,9,164.9,183
P002,D006B,2021,46.5,2.3,44.3,48.8
P002,D007A,2021,131.7,12.3,119.4,144
P002,D007B,2021,35.2,2.7,32.5,37.9
P002,D008A,2021,74.7,7,67.7,81.8
P002,D008B,2021,20,1.8,18.1,21.8
P003,D001A,2021,270.4,14.8,255.5,285.2
P003,D001B,2021,22.1,1.1,20.9,23.2
P003,D002A,2021,285,12.4,272.6,297.4
P003,D002B,2021,44.2,1.5,42.7,45.8
P003,D003A,2021,555.9,18,537.9,574
P003,D003B,2021,29.7,1,28.7,30.7
P003,D004A,2021,143.3,9.5,133.8,152.7
P003,D004B,2021,38.2,2.2,36,40.4
P003,D005A,2021,160,9.2,150.9,169.2
P003,D005B,2021,42.8,2,40.7,44.8
P003,D006A,2021,128.7,8.2,120.5,136.9
P003,D006B,2021,34.4,2.1,32.3,36.5
P003,D007A,2021,83.6,9.6,74,93.2
P003,D007B,2021,22.3,2.3,20,24.7
P003,D008A,2021,40.3,4.8,35.6,45.1
P003,D008B,2021,10.8,1.3,9.5,12
P004,D001A,2021,133,11.1,121.9,144.1
P004,D001B,2021,10.9,0.9,10,11.7
P004,D002A,2021,178.2,9.5,168.7,187.7
P004,D002B,2021,27.7,1.3,26.3,29
P004,D003A,2021,311.5,14.8,296.8,326.3
P004,D003B,2021,16.6,0.8,15.9,17.4
P004,D004A,2021,116.3,9.2,107.2,125.5
P004,D004B,2021,31.1,2.1,28.9,33.2
P004,D005A,2021,105.9,7.4,98.5,113.3
P004,D005B,2021,28.3,1.9,26.4,30.2
P004,D006A,2021,56.3,6.2,50.1,62.5
P004,D006B,2021,15.1,1.7,13.4,16.7
P004,D007A,2021,20.4,4.1,16.3,24.5
P004,D007B,2021,5.4,1,4.4,6.5
P004,D008A,2021,12.6,2.6,10,15.2
P004,D008B,2021,3.4,0.7,2.7,4.1
P001,D001A,2022,886,21.9,864.1,907.9
P001,D001B,2022,70.7,1.3,69.4,72
P001,D002A,2022,292.6,19.3,273.3,311.9
P001,D002B,2022,44.9,2.4,42.5,47.2
P001,D003A,2022,1181,23.3,1157.7,1204.4
P001,D003B,2022,61.9,1.2,60.7,63.1
P001,D004A,2022,228.2,14.3,213.9,242.5
P001,D004B,2022,59.8,2.9,57,62.7
P001,D005A,2022,203,14.8,188.2,217.7
P001,D005B,2022,53.2,2.7,50.5,55.9
P001,D006A,2022,199.6,15.7,183.9,215.3
P001,D006B,2022,52.2,2.7,49.5,54.9
P001,D007A,2022,237.8,13.2,224.6,251
